Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
1;HASHIMOTO Daiki;JPN;6;8,666;14,666;0;6;8,333;14,333;0;5,8;8,066;13,866;0;5,6;9,3;14,9;0;6,1;8,9;15;0;6;8,433;14,433;0;87,198
2;ZHANG Boheng;CHN;5,8;8,233;14,033;0;5,7;8,533;14,233;0;6,2;7,9;14,1;0;5,6;9,3;14,9;0;6,4;8,666;15,066;0;6,2;8,233;14,433;0;86,765
3;TANIGAWA Wataru;JPN;5,7;8,566;14,266;0;5,9;7,866;13,766;0;6;7,833;13,833;0;6;9;15;0;6,3;8,466;14,766;0;5,7;7,9;13,6;0;85,231
4;MALONE Brody;USA;5,7;8,433;14,133;0;5,8;7,966;13,766;0;5,6;8,066;13,666;0;5,2;9,3;14,5;0;6;8,366;14,366;0;6,3;8,2;14,5;0;84,931
5;JARMAN Jake;GBR;6,7;7,733;14,433;0;5,1;8,233;13,333;0;4,7;8,3;13;0;5,6;9,2;14,8;0;5,9;8,266;14,166;0;4,8;8,333;13,133;0;82,865
6;HONG Asher;USA;6;8,366;14,266;-0,1;5,6;8,1;13,7;0;5,9;7,933;13,833;0;6;8,266;14,166;-0,1;6;8,9;14,9;0;5,1;6,4;11,5;0;82,365
7;KOVTUN Illia;UKR;6,1;8;14;-0,1;6;7,933;13,933;0;4,8;7,866;12,666;0;5,2;9,1;14,3;0;6,6;8;14,6;0;5,4;7,466;12,866;0;82,365
8;YULO Carlos Edriel;PHI;6,4;8,766;15,166;0;5;6,9;11,9;0;6;7,8;13,8;0;6;8,166;14,166;0;6,3;8,866;15,166;0;5;6,9;11,9;0;82,098
9;TANG Chia-Hung;TPE;5,5;8,633;14,133;0;5;8,033;13,033;0;5,4;7,966;13,366;0;4,8;9,2;14;0;4,9;8,466;13,366;0;5,6;8,466;14,066;0;81,964
10;SOUZA Caio;BRA;5,6;8,266;13,766;-0,1;4,9;7,866;12,766;0;5,8;7,9;13,7;0;5,2;7,8;12,7;-0,3;6;8,566;14,566;0;6,3;7,833;14,133;0;81,631
11;DAUSER Lukas;GER;5,3;8,366;13,666;0;5,4;7,8;13,2;0;5;7,9;12,9;0;4,8;8,966;13,766;0;6,6;8,566;15,166;0;5,3;7,6;12,9;0;81,598
12;SCHMIDT Casimir;NED;5,8;8,2;14;0;5,7;7,033;12,733;0;5,5;8,3;13,8;0;5,2;9,133;14,233;-0,1;5,5;8,233;13,733;0;5,1;7,9;13;0;81,499
13;CASALI Lorenzo Minh;ITA;5,3;7,666;12,966;0;4,8;8,033;12,833;0;4,8;8,3;13,1;0;5,6;8,733;14,233;-0,1;5,8;8,533;14,333;0;5,1;7,766;12,866;0;80,331
14;MESZAROS Krisztofer;HUN;5,8;7,9;13,7;0;4,9;7,7;12,6;0;4,4;8,666;13,066;0;4,8;9,2;13,7;-0,3;5,9;8,166;14,066;0;5,3;7,533;12,833;0;79,965
15;BALAZS Krisztian;HUN;5,3;7,633;12,833;-0,1;4,9;7,8;12,7;0;4,4;8,466;12,866;0;4,4;8,9;13,2;-0,1;6,1;8,333;14,433;0;5,7;8,1;13,8;0;79,832
16;ABAD Nestor;ESP;5,5;8,3;13,8;0;5,1;6,166;11,266;0;5,3;7,933;13,233;0;4,8;9,033;13,733;-0,1;5,8;8,4;14,2;0;5,3;8,133;13,433;0;79,665
17;SOARES Diogo;BRA;5,3;7,466;12,766;0;5,3;8,133;13,433;0;4,5;8,4;12,9;0;4,8;9,466;14,266;0;5,1;7,333;12,433;0;5,5;8,366;13,866;0;79,664
18;PLATA Joel;ESP;6;8,333;14,333;0;4,7;6,833;11,533;0;5;8,233;13,233;0;5,6;9,1;14,7;0;5,4;7,366;12,766;0;5,1;7,933;13,033;0;79,598
19;HEGGEMSNES Sofus;NOR;4,7;8,066;12,766;0;4,6;8,1;12,7;0;4,6;8,166;12,766;0;5,2;9,266;14,466;0;4,8;8,5;13,3;0;4,8;8,133;12,933;0;78,931
20;van den KEYBUS Luka;BEL;5,3;8,033;13,333;0;4,7;5,866;10,566;0;4,3;8,5;12,8;0;5,2;9,033;14,133;-0,1;6;8,066;14,066;0;5,4;7,966;13,366;0;78,264
21;ABBADINI Yumin;ITA;5,1;8,466;13,566;0;5,5;8,166;13,666;0;4,7;8,466;13,166;0;4,8;9,066;13,866;0;5,3;7,766;13,066;0;5,1;5,1;9,9;-0,3;77,23
22;FRASER Joe;GBR;5,7;8,166;13,866;0;6,1;7,066;13,166;0;5,6;8;13,6;0;5,2;7,933;12,833;-0,3;6;5,533;11,533;0;5;7,1;12,1;0;77,098
23;BURTANETE Gabriel;ROU;5,2;8;13,1;-0,1;3,2;6,966;10,166;0;4,4;8,733;13,133;0;5,6;9;14,5;-0,1;5,3;8,1;13,4;0;4,5;8,1;12,6;0;76,899
24;CALVO MORENO JO;COL;5,6;7,666;13,166;-0,1;4,8;5,6;10,4;0;4,8;6,766;11,566;0;5,2;9,2;14,4;0;6;6,366;12,366;0;5,7;7,8;13,5;0;75,398
