Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
1;TANIGAWA Wataru;JPN;5,6;8,566;14,166;0;5,8;7,933;13,733;0;6;8;14;0;5,6;8,8;14,4;0;6,3;8,566;14,866;0;5,7;7,866;13,566;0;84,731
2;HASHIMOTO Daiki;JPN;6;8,466;14,466;0;5,6;6,066;11,666;0;5,8;8,2;14;0;5,6;9,1;14,7;0;6,1;8,633;14,733;0;6,7;8,4;15,1;0;84,665
3;YULO Carlos Edriel;PHI;6,4;8,866;15,266;0;5,1;6,666;11,766;0;6;8,066;14,066;0;6;8,833;14,733;-0,1;6,3;9;15,3;0;5;8,533;13,533;0;84,664
4;FRASER Joe;GBR;5,7;8,3;13,9;-0,1;5,7;6,833;12,533;0;5,6;8,333;13,933;0;5,2;9,066;14,266;0;6,5;8,566;15,066;0;6,1;8,166;14,266;0;83,964
5;ZHANG Boheng;CHN;6,1;8,4;14,5;0;6;8;14;0;5,7;6,333;12,033;0;5,6;8;13,6;0;6,4;8,5;14,9;0;6,2;8,533;14,733;0;83,766
6;HONG Asher;USA;6;7,966;13,866;-0,1;5,6;7,7;13,3;0;5,9;8;13,9;0;6;8,533;14,433;-0,1;6;8,6;14,6;0;5,1;8,1;13,2;0;83,299
7;PLATA Joel;ESP;6;7,8;13,5;-0,3;5,1;7,8;12,9;0;5;8,3;13,3;0;5,6;9;14,6;0;5,8;8,866;14,666;0;6,3;7,533;13,833;0;82,799
8;MALONE Brody;USA;5,9;6,966;12,766;-0,1;5,7;7,733;13,433;0;5,9;7,8;13,7;0;5,2;9,133;14,333;0;5,7;8,266;13,966;0;6,3;8,133;14,433;0;82,631
9;SCHMIDT Casimir;NED;5,8;8;13,8;0;5,6;7,9;13,5;0;5,5;8,433;13,933;0;5,2;9,133;14,333;0;5,5;8,466;13,966;0;5,1;7,933;13,033;0;82,565
10;SOUZA Caio;BRA;5,6;8,066;13,566;-0,1;5,4;7,766;13,166;0;6;7,8;13,8;0;5,6;8,933;14,533;0;5,6;7,566;13,166;0;6,3;8,033;14,333;0;82,564
11;JARMAN Jake;GBR;6,7;7,2;13,9;0;5,2;8,333;13,533;0;4,7;8,366;13,066;0;5,6;9,1;14,6;-0,1;5,9;8,266;14,166;0;4,8;8,3;13,1;0;82,365
12;SOARES Diogo;BRA;5,4;8,366;13,466;-0,3;5,3;8,266;13,566;0;4,5;8,566;13,066;0;4,8;9,3;14,1;0;5,5;8,6;14,1;0;5,7;8,266;13,966;0;82,264
13;RYU Sunghyun;KOR;5,9;8,566;14,466;0;5,1;7,933;13,033;0;5;8,366;13,366;0;4,8;9,166;13,666;-0,3;5,6;8,166;13,766;0;5,1;8,533;13,633;0;81,93
14;ASIL Adem;TUR;5,8;8,333;14,133;0;5;7,933;12,933;0;6,3;8,366;14,666;0;5,6;8,333;13,933;0;5,3;7,233;12,533;0;5;8,566;13,566;0;81,764
15;KOVTUN Illia;UKR;6,1;6,7;12,7;-0,1;5,8;7,933;13,733;0;4,8;7,6;12,4;0;5,2;9,2;14,4;0;6,6;8,366;14,966;0;5,7;7,833;13,533;0;81,732
16;ABBADINI Yumin;ITA;5,1;8,566;13,666;0;5,5;8,466;13,966;0;4,7;8,3;13;0;4,8;8,9;13,6;-0,1;5,3;8,4;13,7;0;5,6;8;13,6;0;81,532
17;TANG Chia-Hung;TPE;5,5;8,666;14,166;0;4,7;8,3;13;0;5,4;7,966;13,366;0;4,8;9,1;13,9;0;4,9;8,633;13,533;0;5,5;7,233;12,733;0;80,698
