Rk;Apparatus;Name;License_number;Category;Birth_year;Club;D_score;E_score;Penalty;Total_score
1;Floor Exercise;GAWROÑSKI Sebastian;32203;senior;1996;KS AZS AWF Katowice;5,5;8,100;0;13,600
2;Floor Exercise;SASNAL Filip;32804;senior;1997;KS AZS AWF Kraków;6,0;7,650;-0,5;13,150
3;Floor Exercise;LUDYNIA Marceli;32213;senior;2001;KS AZS AWF Katowice;4,3;8,100;0;12,400
4;Floor Exercise;BRACKI Borys;32570;senior;2004;KS AZS AWF Katowice;3,6;8,750;0;12,350
5;Floor Exercise;CHRUŒCIEL Szymon;33132;senior;2004;KS AZS AWF Kraków;4,1;8,000;-0,1;12,000
6;Floor Exercise;GARNCZAREK Kacper;32211;senior;2002;KS AZS AWF Katowice;5,2;7,050;-0,3;11,950
7;Floor Exercise;SZYMCZYK Rados³aw;33928;senior;2004;KS AZS AWF Kraków;4,1;7,550;0;11,650
8;Floor Exercise;LUKIANIENKO Illia;Z/2000/104;senior;2000;MKS Kusy Szczecin;5,0;6,300;-0,6;10,700
1;Pommel Horse;GARNCZAREK Kacper;32211;senior;2002;KS AZS AWF Katowice;5,2;8,000;0;13,200
2;Pommel Horse;LAKHIN Yaroslav;Z/2003/308;senior;2003;CWZS Zawisza KG Bydgoszcz;4,1;8,350;0;12,450
3;Pommel Horse;LUKIANIENKO Illia;Z/2000/104;senior;2000;MKS Kusy Szczecin;4,7;7,600;0;12,300
4;Pommel Horse;SZYMCZYK Rados³aw;33928;senior;2004;KS AZS AWF Kraków;3,6;8,550;0;12,150
5;Pommel Horse;BRACKI Borys;32570;senior;2004;KS AZS AWF Katowice;3,8;7,850;0;11,650
6;Pommel Horse;KAŒKÓW Pawe³;33059;senior;2000;KS AZS AWFiS Gdañsk;4,3;6,350;0;10,650
7;Pommel Horse;JAKUBOWSKI Jakub;33661;senior;2003;KS AZS AWFiS Gdañsk;3,4;6,200;0;9,600
8;Pommel Horse;KUROWSKI Jakub;30190;senior;2004;MKS Kusy Szczecin;3,7;7,650;-3;8,350
1;Still Rings;GAWROÑSKI Sebastian;32203;senior;1996;KS AZS AWF Katowice;5,0;8,650;0;13,650
2;Still Rings;SASNAL Filip;32804;senior;1997;KS AZS AWF Kraków;4,3;8,700;0;13,000
3;Still Rings;KAŒKÓW Pawe³;33059;senior;2000;KS AZS AWFiS Gdañsk;3,8;8,800;0;12,600
4;Still Rings;IAREMCHUK Vladyslav;Z/02/00023;senior;2002;KS AZS AWF Katowice;4,5;8,050;0;12,550
5;Still Rings;BRACKI Borys;32570;senior;2004;KS AZS AWF Katowice;3,9;8,350;0;12,250
6;Still Rings;BOBER Micha³;33750;senior;2002;UKS SP7 £ódŸ;3,4;8,250;0;11,650
7;Still Rings;LUKIANIENKO Illia;Z/2000/104;senior;2000;MKS Kusy Szczecin;4,4;7,300;-0,3;11,400
8;Still Rings;GARNCZAREK Kacper;32211;senior;2002;KS AZS AWF Katowice;0,0;0,000;0;0,000
1;Pararell Bars;SASNAL Filip;32804;senior;1997;KS AZS AWF Kraków;4,2;8,900;0;13,100
2;Pararell Bars;BOBER Micha³;33750;senior;2002;UKS SP7 £ódŸ;3,9;8,650;0;12,550
3;Pararell Bars;GARNCZAREK Kacper;32211;senior;2002;KS AZS AWF Katowice;5,3;6,900;0;12,200
3;Pararell Bars;BRACKI Borys;32570;senior;2004;KS AZS AWF Katowice;4,0;8,200;0;12,200
5;Pararell Bars;KUROWSKI Jakub;30190;senior;2004;MKS Kusy Szczecin;3,5;8,450;0;11,950
6;Pararell Bars;KAŒKÓW Pawe³;33059;senior;2000;KS AZS AWFiS Gdañsk;3,9;7,950;0;11,850
7;Pararell Bars;LAKHIN Yaroslav;Z/2003/308;senior;2003;CWZS Zawisza KG Bydgoszcz;3,5;8,200;0;11,700
8;Pararell Bars;FRONT Filip;30170;senior;2002;KS AZS AWFiS Gdañsk;3,1;7,300;0;10,400
