Rk;Name;NOC;FX_DScore;FX_Escore;FX_Total_Score;FX_Penalty;PH_DScore;PH_Escore;PH_Total_Score;PH_Penalty;SR_Dscore;SR_Escore;SR_Total_Score;SR_Penalty;VT_Dscore;VT_Escore;VT_Total_Score;VT_Penalty;PB_Dscore;PB_Escore;PB_Total_Score;PB_Penalty;HB_Dscore;HB_Escore;HB_Total_Score;HB_Penalty;AA_Total_Score
1;QIN Guohuan;CHN;5,1;7,700;12,700;-0,1;4,5;8,733;13,233;0;4,2;8,800;13,000;0;5,2;9,200;14,400;0;4,8;8,933;13,733;0;4,5;8,633;13,133;0;80,199
2;BARAJAS Angel;COL;5,1;8,766;13,866;0;5,2;7,033;12,233;0;4,5;8,433;12,933;0;5,2;8,466;13,366;-0,3;5,3;8,433;13,733;0;5,8;8,200;14,000;0;80,131
3;VILLA Riccardo;ITA;4,8;8,466;13,266;0;5,2;8,100;13,300;0;4,4;8,900;13,300;0;5,2;8,833;14,033;0;4,5;8,366;12,866;0;4,5;8,400;12,900;0;79,665
4;TSUNOGAI Tomoharu;JPN;4,9;8,633;13,533;0;5,0;7,266;12,266;0;4,2;8,833;13,033;0;5,2;8,066;13,166;-0,1;4,9;9,166;14,066;0;5,0;8,600;13,600;0;79,664
5;EDER Timo;GER;4,8;8,766;13,566;0;4,8;8,833;13,633;0;4,2;8,466;12,666;0;4,8;8,933;13,733;0;4,2;8,666;12,866;0;4,3;8,533;12,833;0;79,297
6;MANUKYAN Hamlet;ARM;4,0;9,200;12,900;-0,3;5,5;9,033;14,533;0;4,4;9,100;13,500;0;4,0;8,733;12,633;-0,1;4,3;8,600;12,900;0;3,3;8,900;12,200;0;78,666
7;KAMIYAMA Haruto;JPN;5,1;8,800;13,900;0;4,8;6,733;11,533;0;5,0;7,866;12,866;0;5,6;9,066;14,666;0;5,1;7,966;13,066;0;4,4;8,233;12,633;0;78,664
8;MANSARD Anthony;FRA;4,9;8,333;13,233;0;4,1;8,233;12,333;0;4,4;8,000;12,400;0;4,8;9,200;14,000;0;4,7;8,300;13,000;0;4,7;8,600;13,300;0;78,266
9;YANG Chunjie;CHN;4,2;7,533;11,733;0;4,9;9,266;14,166;0;4,4;8,633;13,033;0;4,0;9,000;13,000;0;4,9;8,266;13,166;0;4,3;8,833;13,133;0;78,231
10;YOLSHINA-CASH Alexander;GBR;4,4;8,200;12,600;0;5,0;8,433;13,433;0;4,0;8,566;12,566;0;4,8;8,766;13,566;0;4,7;8,633;13,333;0;4,1;8,366;12,466;0;77,964
11;ATTIA Mohamed;EGY;4,2;8,866;13,066;0;4,1;8,933;13,033;0;4,1;8,333;12,433;0;4,0;9,100;13,100;0;4,1;8,800;12,900;0;4,4;8,533;12,933;0;77,465
12;BAGHDASARYAN Erik;ARM;3,8;9,066;12,866;0;3,9;8,500;12,400;0;4,2;9,033;13,233;0;4,8;7,866;12,666;0;4,3;8,866;13,166;0;4,2;8,933;13,133;0;77,464
13;BRUGNAMI Tommaso;ITA;5,1;8,533;13,633;0;4,2;7,233;11,433;0;4,3;8,433;12,733;0;5,2;8,966;13,866;-0,3;4,1;8,800;12,900;0;4,2;8,600;12,800;0;77,365
14;KOVALENKO Maxim;GER;4,9;8,600;13,500;0;4,2;7,466;11,666;0;4,2;8,766;12,966;0;4,8;9,266;14,066;0;4,8;7,100;11,900;0;4,7;7,966;12,666;0;76,764
15;CAVALLARO Romain;FRA;4,7;7,566;12,266;0;4,0;8,300;12,300;0;4,4;8,666;13,066;0;4,8;8,966;13,666;-0,1;4,5;8,466;12,966;0;4,3;8,166;12,466;0;76,730
16;POWELL Winston;GBR;4,4;8,700;13,100;0;4,4;8,633;13,033;0;3,9;8,700;12,600;0;4,8;9,000;13,800;0;4,0;7,066;11,066;0;4,4;7,600;12,000;0;75,599
17;SCHWAIGER Alfred;AUT;4,3;7,800;12,100;0;5,3;8,333;13,633;0;4,1;8,366;12,466;0;4,0;8,933;12,933;0;3,9;8,200;12,100;0;3,9;8,466;12,366;0;75,598
18;PIETARINEN Marcus;FIN;4,9;8,300;13,200;0;4,6;8,566;13,166;0;4,1;8,733;12,833;0;3,2;8,966;12,066;-0,1;4,4;7,200;11,600;0;4,0;8,100;12,100;0;74,965
19;UEMURA Kai;USA;5,1;7,866;12,866;-0,1;4,3;7,333;11,633;0;4,4;8,233;12,633;0;4,8;8,833;13,633;0;4,8;7,333;12,133;0;4,6;7,333;11,933;0;74,831
20;HAMARAT Volkan Arda;TUR;3,7;8,900;12,600;0;3,4;7,033;10,433;0;4,1;8,800;12,900;0;4,4;9,000;13,300;-0,1;4,2;8,966;13,166;0;3,8;8,500;12,300;0;74,699
21;OLASZ Xavier;CAN;4,4;7,066;11,466;0;3,9;8,733;12,633;0;3,9;8,333;12,233;0;4,4;8,900;13,300;0;4,2;8,566;12,766;0;3,8;8,466;12,266;0;74,664
22;ZAMBORI Zala Samu;HUN;4,2;8,133;12,333;0;3,4;8,000;11,400;0;4,2;8,433;12,633;0;4,0;8,966;12,966;0;3,7;8,700;12,400;0;4,5;8,166;12,666;0;74,398
23;AHMED Mostafa;EGY;4,5;7,333;11,833;0;4,4;7,366;11,766;0;4,1;8,600;12,700;0;5,2;7,600;12,500;-0,3;4,6;8,033;12,633;0;4,1;8,400;12,500;0;73,932
24;da SILVA PERDIGAO;BRA;5,0;7,933;12,933;0;3,2;6,900;10,100;0;4,4;7,933;12,333;0;4,8;8,766;13,566;0;3,8;6,366;10,166;0;3,9;4,933;8,833;0;67,931
