Rk;Name;NOC;FX_D_Score;FX_E_Score;FX_Total_Score;FX_Penalty;PH_D_Score;PH_E_Score;PH_Total_Score;PH_Penalty;SR_D_Score;SR_E_Score;SR_Total_Score;SR_Penalty;VT_D_Score;VT_E_Score;VT_Total_Score;VT_Penalty;PB_D_Score;PB_E_Score;PB_Total_Score;PB_Penalty;HB_D_Score;HB_E_Score;HB_Total_Score;HB_Penalty;AA_Score
1;BARAJAS Angel;COL;5,1;8,533;13,633;0;4,9;8,033;12,933;0;4,5;8,566;13,066;0;5,2;9,2;14,4;0;5,3;8,666;13,966;0;5,9;7,866;13,466;-0,3;81,464
2;TSUNOGAI Tomoharu;JPN;4,9;8,833;13,733;0;5;8,1;13,1;0;4,2;9,133;13,333;0;5,2;8,8;13,7;-0,3;4,9;9;13,9;0;4,9;8,7;13,6;0;81,366
3;YANG Chunjie;CHN;4,3;9;13,3;0;4,7;9,166;13,866;0;4,4;8,833;13,233;0;4;9,033;13,033;0;4,9;8,9;13,8;0;4,3;8,433;12,733;0;79,965
4;BRUGNAMI Tommaso;ITA;5,1;8,533;13,633;0;4,2;8,5;12,7;0;4,3;8,8;13,1;0;5,2;9,3;14,4;-0,1;4,1;9,1;13,2;0;4,2;8,666;12,866;0;79,899
5;KAMIYAMA Haruto;JPN;5,1;8,633;13,733;0;5,2;8,133;13,333;0;5,1;8,066;13,166;0;5,6;8,866;14,166;-0,3;5,1;8,666;13,766;0;4,2;7,466;11,666;0;79,83
6;QIN Guohuan;CHN;5;7,6;12,5;-0,1;4,5;8,566;13,066;0;4,2;8,933;13,133;0;5,2;8,933;14,033;-0,1;4,8;9,2;14;0;4,4;8,566;12,966;0;79,698
7;POWELL Winston;GBR;4,4;8,7;13,1;0;4,5;8,6;13,1;0;3,9;8,866;12,766;0;4,8;9,033;13,833;0;4,5;9;13,5;0;4,4;8,733;13,133;0;79,432
8;HE Xiang;CHN;4,3;8,866;13,166;0;4,6;8,866;13,466;0;4,5;8,633;13,133;0;4;9,066;13,066;0;4,4;9;13,4;0;4,8;8,4;13,2;0;79,431
9;VILLA Riccardo;ITA;4,8;8,133;12,933;0;5,1;7,3;12,4;0;4,4;9,2;13,6;0;5,2;9,133;14,233;-0,1;4,5;8,5;13;0;4,7;8,533;13,233;0;79,399
10;TANIDA Masaharu;JPN;5,2;8,6;13,8;0;3,9;5,733;9,633;0;5;8,4;13,4;0;5,2;9,3;14,5;0;5,1;9,233;14,333;0;4,8;8,833;13,633;0;79,299
11;MANSARD Anthony;FRA;4,9;8,5;13,4;0;3,9;8,666;12,566;0;4,4;8,6;13;0;4,8;9,2;14;0;4,7;8,1;12,8;0;4,7;8,5;13,2;0;78,966
12;BAGHDASARYAN Erik;ARM;3,8;9,166;12,966;0;3,9;8,366;12,266;0;4,2;9,166;13,366;0;4,8;9,066;13,566;-0,3;4,3;9,233;13,533;0;4,2;8,666;12,866;0;78,563
13;UEMURA Kai;USA;5,1;7,866;12,966;0;4,2;8,233;12,433;0;4,4;8,8;13,2;0;4,8;9;13,7;-0,1;4,8;8,333;13,133;0;4,6;8,4;13;0;78,432
14;MANUKYAN Hamlet;ARM;4;8,833;12,533;-0,3;5,4;8,733;14,133;0;4,4;9,266;13,666;0;4;8,866;12,866;0;4,3;8,866;13,166;0;3,3;8,766;12,066;0;78,43
15;CAVALLARO Romain;FRA;4,7;7,666;12,366;0;4,1;8,566;12,666;0;4,4;8,566;12,966;0;4,8;9,066;13,866;0;4,5;8,666;13,166;0;4,5;8,366;12,866;0;77,896
16;SHAMAH David;USA;4,9;8,3;13,2;0;4,6;7,333;11,933;0;4,2;8,866;13,066;0;4,8;8,833;13,333;-0,3;5,2;8,166;13,366;0;4,7;8,233;12,933;0;77,831
17;KHACHATRYAN Mamikon;ARM;3,9;9,1;12,7;-0,3;5,3;8,7;14;0;3,9;9,1;13;0;4;9,133;13,133;0;3,8;9;12,8;0;3,4;8,466;11,866;0;77,499
18;BERETTERA Manuel;ITA;4,8;8,366;13,166;0;3,6;7,966;11,566;0;4;9;13;0;4,8;8,9;13,6;-0,1;4;8,9;12,9;0;4,4;8,533;12,933;0;77,165
19;ATTIA Mohamed;EGY;4,2;8,633;12,833;0;4,1;8,833;12,933;0;4,1;8,566;12,666;0;4;9,066;13,066;0;4,1;8,7;12,8;0;4,4;8,4;12,8;0;77,098
20;EDER Timo;GER;4,8;8,533;13,333;0;4,3;6,7;11;0;4,2;8,533;12,733;0;4,8;8,9;13,7;0;4,2;9,1;13,3;0;4,3;8,666;12,966;0;77,032
